family;name;class;cap-diameter;cap-shape;Cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;Spore-print-color;habitat;season
Tricholoma Family;Russet Tough Shank;p;[2, 5];[f];[d];[n, b];[f];[x];[c];[w, y];[3, 6];[2, 4];[b];[i, s];[n];[w];[n];[f];[f];[n];[l, d];[u, a]
Tricholoma Family;Clustered Tough Shank;p;[2, 5];[x, f];[g];[n, w];[f];[x];[c];[p];[6, 10];[3, 5];[s];[y];[n, p];[w];[n];[f];[f];[n];[l, d];[u, a]
Tricholoma Family;Greasy Tough Shank;e;[4, 8];[x, f];[s];[n, b];[f];[x];[c];[w];[5, 9];[10];[s];[s];[n];[w];[n];[f];[f];[n];[l];[a, w]
Tricholoma Family;Spotted Tough Shank;p;[6, 12];[x, f];[g];[w, n];[f];[x];[c];[w];[8, 12];[8, 15];[r];[i];[w];[w];[n];[f];[f];[n];[d, h];[u, a]
Tricholoma Family;Fairy Ring Champignon;e;[2, 5];[b];[g];[n ,w];[f];[x];[d];[w];[3, 6];[2, 4];[s];[y];[y];[w];[n];[f];[f];[n];[g];[u, a]
Tricholoma Family;Little Wheel Fungus;p;[0.7, 1.3];[x];[g];[w];[f];[a];[d];[w];[2, 4];[1, 2];[s];[y];[n, e];[w];[n];[f];[f];[n];[l, d];[u, a]
Tricholoma Family;Horse-hair Fungus;p;[0.5, 1];[x];[g];[n, p, e];[f];[a];[w];[n, p];[3, 5];[1];[s];[s, h];[k];[w];[n];[f];[f];[n];[d];[s, u, a, w]
Tricholoma Family;Bonnet Bell Cap;e;[2, 6];[b, f];[g];[n, g];[f];[a];[d];[g];[3, 8];[2, 5];[s];[s];[n, g];[w];[n];[f];[f];[n];[d];[s, u, a, w]
Tricholoma Family;Stump Bell Cap;p;[1, 3];[b];[g];[g, n];[f];[a];[w];[g];[4, 6];[2];[s];[s];[g, n];[w];[n];[f];[f];[n];[d];[u, a]
Tricholoma Family;Tufted Bell Cap;p;[2, 3];[x];[g];[e, n];[f];[a];[w];[w, p];[4, 10];[2, 3];[s];[y];[n, w];[w];[n];[f];[f];[n];[d];[u, a]
Tricholoma Family;Milky Bell Cap;e;[1, 2];[c];[g];[n];[f];[a];[w];[g, w];[4, 6];[1, 2];[s];[y];[g];[w];[n];[f];[f];[n];[l, d];[u, a]
Tricholoma Family;Small Bleeding Bell Cap;e;[0.5, 1.5];[c, x, f];[g];[n, e];[t];[a];[w];[p, w];[4, 7];[1];[s];[y];[n];[w];[n];[f];[f];[n];[d, h];[u, a]
Tricholoma Family;Lilac Bell Cap;p;[2, 5];[b, f, s];[w];[u];[f];[a];[c];[g, u];[3, 8];[3, 8];[s];[s];[u];[w];[n];[f];[f];[n];[l, d];[u, a]
Tricholoma Family;Yellow-stemmed Bell Cap;e;[1, 2];[x];[g, s, t];[n, y];[f];[a, d];[w];[w];[4, 8];[1, 3];[s];[t];[y];[w];[n];[f];[f];[n];[g, d, h];[u, a]
Tricholoma Family;Orange Bell Cap;p;[0.4, 1];[x];[g];[o, y];[f];[w];[w];[y];[3, 4];[0.5, 1];[s];[y];[w, y];[w];[n];[f];[f];[n];[d];[u, a]
Tricholoma Family;Orange Moss Agaric;p;[0.4, 1];[x, f];[g];[o];[f];[d];[w];[o];[3, 6];[1];[s];[y];[o, y];[w];[n];[f];[f];[w];[g];[u, a]
Tricholoma Family;Umbrella Navel Cap;p;[1, 2];[x];[g];[n, y];[f];[d];[d];[n];[1, 3];[2, 3];[s];[s];[n];[w];[n];[f];[f];[n];[d, h];[u, a]
Tricholoma Family;Rooting Shank;p;[4, 10];[x, f];[h, t, w];[n, e];[f];[x];[w];[w];[8, 20];[5, 10];[r];[g];[n];[w];[n];[f];[f];[n];[d];[u, a]
Tricholoma Family;Porcelain Mushroom;e;[4, 8];[x];[h, t];[g, n];[f];[a];[d];[n];[4, 8];[3, 7];[s];[t];[g, w];[w];[n];[t];[l];[n];[d];[u, a, w]
Tricholoma Family;Velvet Shank;e;[2, 7];[x, f];[h, t];[o, n];[f];[a];[d];[w, y];[3, 10];[3, 8];[s];[k, s];[o, n];[w];[n];[f];[f];[n];[d];[s, a, w]
Tricholoma Family;Honey Fungus;e;[5, 15];[x, f];[s];[e, n, y];[f];[a, d];[d];[w];[6, 12];[10, 20];[s];[i];[n];[w];[n];[t];[p];[w];[d];[u, a, w]
Tricholoma Family;Bulbous Honey Fungus;e;[5, 15];[x, f];[y];[e, n, y];[f];[w];[w];[w];[4, 10];[20, 30];[b];[y];[n];[w];[w];[t];[e];[n];[d];[a, w]
Tricholoma Family;Soap-scented Tricholoma;p;[3, 10];[x];[s];[g, r, n];[t];[s];[d];[w, r];[3, 8];[10, 20];[r];[i, y];[w, n];[w];[n];[f];[f];[n];[d];[u, a]
Tricholoma Family;Grey Tricholoma;e;[4, 8];[b, f];[h];[g, k];[f];[s];[d];[g, w];[3, 7];[10];[s];[s];[g];[w];[n];[f];[f];[n];[d];[u, a]
Tricholoma Family;Scaly Tricholoma;e;[3, 7];[x, f];[y];[g, n];[f];[s];[w];[g, w, y];[3, 6];[5, 10];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Tricholoma Family;Yellow-brown Tricholoma;e;[5, 10];[f];[g, s, h, t];[n, o];[f];[s];[w];[n, y];[7, 11];[10, 15];[s];[i, t];[n, o];[w];[n];[f];[f];[n];[d];[a]
Tricholoma Family;Sulphur Tricholoma;p;[3, 8];[x, f];[g];[y];[f];[s];[d];[y];[3, 8];[8, 18];[s];[i];[y];[w];[n];[f];[f];[n];[d];[a]
Tricholoma Family;St George's Mushroom;e;[5, 12];[x, f];[d, s];[w];[f];[s];[c];[w];[4, 10];[20, 40];[s];[y];[w];[w];[n];[f];[f];[n];[m, d];[s, u]
Tricholoma Family;Clustered Brown Cap;e;[6, 10];[p, x];[g];[g, n];[f];[a];[w];[w];[5, 10];[10, 18];[s];[y];[g, w];[w];[n];[f];[f];[n];[g, d];[u, a]
Tricholoma Family;Changeable Melanoleuca;e;[4, 10];[f];[s];[n];[f];[s];[c];[w];[4, 8];[10];[b];[i];[n, w];[w];[n];[f];[f];[n];[g, l, m, d];[u, a]
Tricholoma Family;Plums and custard;p;[4, 12];[f];[y];[e, u, y];[f];[s];[c];[y];[4, 10];[10, 25];[s];[y];[e, u, y];[w];[n];[f];[f];[n];[d];[a]
Wax Gill Family;Ivory Wax Cap;e;[2, 5];[x, f];[s];[w];[f];[d];[d];[w];[2, 5];[4, 8];[s];[y];[w];[w];[n];[f];[f];[n];[g, m];[a, w]
Wax Gill Family;Yellow Wax cap;p;[3, 6];[x];[h, s, t];[o, y];[f];[a];[c];[y];[5, 7];[5, 10];[s];[g];[o];[w];[n];[f];[f];[n];[g];[u, a]
Wax Gill Family;Orange-red Wax Cap;p;[1, 4];[x, f];[s, y];[o];[f];[a, d];[w];[o, y];[2, 4];[4, 7];[s];[y];[o, y];[w];[n];[f];[f];[n];[m, h];[a]
Wax Gill Family;Blackening Wax Cap;p;[4, 7];[b, x];[s, i];[e, o, k];[f];[e];[w];[y, g, k];[4, 10];[5, 10];[s];[y];[y, o, k];[w];[n];[f];[f];[n];[g, m];[u, a]
Wax Gill Family;Meadow Wax Cap;e;[3, 10];[x, f, s];[s, d];[o, b];[f];[d];[d];[o, b];[4, 8];[10, 15];[s];[y];[w];[w];[n];[f];[f];[n];[g, m, d];[a, w]
Wax Gill Family;Scarlet Hood;e;[2, 5];[x];[h, s, d];[o, p, e];[f];[a];[c];[o, e];[3, 6];[5, 8];[s];[y];[o, e];[w];[n];[f];[f];[n];[g, m];[u, a, w]
Wax Gill Family;Parrot Wax Cap;p;[2, 4];[b, f];[t, w, d];[r, p, y];[f];[a];[w];[r, y];[4, 6];[4, 8];[s];[t];[r, y];[w];[n];[f];[f];[n];[g, m, d];[u, a]
Wax Gill Family;Herald of Winter;e;[3, 5];[x, f];[t];[n];[f];[d];[w];[o];[5, 7];[5, 10];[s];[t];[w, o];[w];[n];[f];[f];[n];[d];[a, w]
Russula Family;Common Yellow Russula;e;[4, 10];[x, f, s];[g];[y];[f];[a];[c];[w];[4, 8];[10, 20];[s];[y];[g,  w];[w];[n];[f];[f];[n];[d];[u, a, w]
Russula Family;Yellow-gilled Russula;e;[2, 6];[x];[g];[y];[f];[a];[c];[o, y];[2, 6];[6, 12];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Yellow Swamp Russula;e;[4, 10];[x];[h, t];[y];[t];[x];[c];[y];[5, 10];[10, 20];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Geranium-scented Russula;p;[4, 10];[x, f, s];[t];[n, y];[f];[x];[c];[y];[3, 8];[10, 20];[s];[y];[y];[w];[n];[f];[f];[n];[d];[a]
Russula Family;Stinking Russula;p;[6, 15];[x];[t];[n];[f];[a];[d];[w];[6, 15];[20, 40];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Fragile Russula;p;[2, 6];[f, s];[g];[u];[f];[a];[w];[w];[3, 6];[5, 10];[s];[y];[w, y];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Birch Russula;p;[2, 6];[x, f];[g];[b, p, e, y];[f];[x];[w];[w];[3, 7];[5, 8];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Bare-toothed Russula;e;[5, 10];[x, f];[g];[n, p, e];[f];[x];[c];[w];[4, 10];[10, 25];[s];[s];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;The Charcoal Burner;e;[5, 15];[x];[e];[l, y];[f];[x];[c];[w];[5, 10];[10, 30];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Blackish Purple Russula;e;[4, 12];[x, f];[s];[u, k];[f];[a];[c];[w];[3, 6];[10, 20];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Blackening Russula;e;[8, 25];[x, f, s];[s, t];[k, n, w];[f];[a];[d];[y, k];[4, 10];[15, 30];[s];[y];[w];[w];[n];[f];[f];[w];[d];[u, a, w]
Russula Family;The Sickener;p;[5, 10];[x, f];[h, t];[e];[f];[x];[d];[w];[4, 8];[15, 20];[b];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Beechwood Sickener;p;[3, 7];[x];[g];[e, p, w];[f];[w];[c];[g, r, w];[2, 5];[10, 15];[s];[y];[y];[w];[n];[f];[f];[n];[d];[a]
Russula Family;Crab-scented Russula;e;[7, 15];[x, f, s];[s];[n, r, u, y];[f];[x];[w];[n];[4, 10];[15, 30];[s];[y];[n, p, w];[w];[n];[f];[f];[n];[d];[u, a, w]
Russula Family;Grass-green Russula;p;[5, 10];[f];[g];[r, y];[f];[x];[c];[y, n];[5, 8];[8, 15];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Peppery Milk Cap;e;[8, 15];[s];[g];[w];[t];[d];[c];[w, p, y];[4, 8];[20, 30];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Fleecy Milk Cap;p;[10, 25];[x, f, s];[k];[w];[t];[d];[d];[w, n];[4, 10];[20, 40];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a, w]
Russula Family;Oak Milk Cap;p;[4, 9];[x, s];[d];[n, e];[t];[d];[c];[n, w];[4, 10];[6, 12];[s];[y];[e, n];[w];[n];[f];[f];[n];[d];[a]
Russula Family;Slimy Milk Cap;p;[5, 10];[s];[h, t];[g, r, n];[t];[d];[w];[w, g];[4, 5];[10, 15];[s];[t];[g, r, n];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Ugly Milk Cap;p;[7, 20];[x, f, s];[t];[g, r, k, n];[t];[d];[c];[w, b, n];[4, 6];[20, 30];[s];[y];[g, r, n];[w];[n];[f];[f];[n];[g, l, d];[u, a]
Russula Family;Rufous Milk Cap;p;[4, 10];[f, s];[d];[n, e];[t];[d];[c];[y, w];[4, 8];[6, 12];[s];[y];[n, e];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Sweet Milk Cap;p;[3, 8];[s];[g];[e, n];[t];[d];[c];[b, p, w];[4, 8];[4, 8];[s];[y];[e, n];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Small Brown Milk Cap;p;[2, 4];[f, s];[w];[n, o];[t];[d];[c];[n, y];[2, 5];[4, 8];[s];[y];[n];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Coconut-scented Milk Cap;e;[2, 5];[f, s];[d];[g, u, n, p];[t];[d];[c];[p];[3, 6];[4, 8];[s];[y];[g, n];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Woolly Milk Cap;p;[6, 12];[s];[t];[p];[t];[d];[c];[p];[6, 10];[10, 20];[s];[y];[p];[w];[n];[t];[f];[n];[d];[u, a]
Russula Family;Saffron Milk Cap;e;[5, 15];[s];[t];[w, p, o];[t];[d];[c];[o];[4, 8];[15, 20];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Russula Family;Spruce Milk Cap;p;[5, 12];[s];[g];[o, y, r];[t];[d];[w];[o];[3, 7];[10, 15];[s];[y];[w];[w];[n];[t];[f];[n];[d];[u, a]
Pluteus Family;Fawn Pluteus;e;[6, 12];[x];[s];[n];[f];[e];[c];[w, p];[4, 10];[8, 12];[s];[i];[w, n];[w];[n];[f];[f];[p];[d];[s, u, a, w]
Pluteus Family;Veined Pluteus;e;[4, 9];[x];[y];[n];[f];[e];[c];[p, w];[3, 8];[8, 12];[s];[y];[n];[w];[n];[f];[f];[n];[d];[u, a]
Entoloma Family;Silky Nolanea;p;[2, 5];[x, f];[k];[n, w];[f];[s];[w];[p];[3, 5];[2, 4];[s];[y];[n];[w];[n];[f];[f];[p];[g];[u, a]
Entoloma Family;Striated Nolanea;p;[3, 5];[b, f];[t];[n];[f];[x];[c];[p];[4, 8];[3, 6];[s];[i];[n, g];[w];[n];[f];[f];[n];[g, m, d];[u, a]
Entoloma Family;White Leptonia;p;[2, 4];[x, s];[d];[w];[f];[a, d];[d];[p, w];[2, 5];[2, 3];[s];[h];[w];[w];[n];[f];[f];[n];[g];[u, a]
Entoloma Family;Blue Leptonia;p;[1, 3];[x, f];[i];[l, k];[f];[a];[w];[p, w];[2, 6];[2, 3];[s];[y];[w];[w];[n];[f];[f];[p];[g];[u, a]
Entoloma Family;Livid Entoloma;p;[6, 18];[x];[s, h];[w, y, g, n];[f];[s];[w];[p, y];[5, 10];[15, 20];[s];[i];[n];[w];[n];[f];[f];[n];[d];[u, a]
Entoloma Family;The Miller;e;[4, 10];[x, s];[l];[w];[f];[d];[w];[p, w];[3, 4];[6, 12];[s];[y];[w];[w];[n];[f];[f];[n];[g, d];[u, a]
Entoloma Family;Apricot Fungus;p;[5, 10];[x, f];[w];[p];[f];[s];[c];[p];[3, 6];[8, 12];[s];[y];[p];[w];[n];[f];[f];[n];[d];[a, w]
Bolbitius Family;Egg Yolk Fungus;p;[1, 3];[c, f];[h, t];[y, n];[f];[w];[w];[y, n];[5, 10];[2, 4];[s];[y];[y];[w];[n];[f];[f];[n];[g];[u, a]
Bolbitius Family;Brown Bell Cap;p;[1, 3];[b];[g];[n, o, y, w];[f];[w];[c];[n];[4, 8];[2, 4];[s];[y];[n];[w];[n];[f];[f];[n];[g, m, d];[s, u, a]
Bolbitius Family;Spring Agaric;e;[3, 6];[x];[g];[n, w];[f];[x];[c];[w, n];[7, 9];[6, 12];[b];[y];[n, w];[w];[w];[t];[p];[n];[g, d];[s, u, a]
Stropharia Family;Shaggy Pholiota;p;[4, 12];[x];[y];[y, n];[f];[a];[c];[y, n];[6, 15];[7, 15];[s];[y];[y, n];[w];[n];[t];[p];[n];[d];[u, a]
Stropharia Family;Charcoal Pholiota;p;[2, 6];[x];[h, t];[n, o];[f];[a];[c];[n];[3, 6];[4, 8];[s];[y];[n, o];[w];[n];[t];[z];[n];[d];[a, w]
Stropharia Family;Brown Stew Fungus;e;[3, 8];[x];[h];[n];[f];[x];[c];[w, n];[3, 8];[4, 8];[s];[y, s];[n];[w];[n];[t];[r];[n];[d];[s, u, a, w]
Stropharia Family;Sulphur Tuft;p;[2, 6];[b, x];[s];[y];[f];[w];[c];[y, r, k];[5, 12];[5, 10];[s];[y];[y];[u];[w];[t];[z];[k, r];[d];[s, u, a, w]
Stropharia Family;Brick Caps;p;[4, 8];[x];[e];[e];[f];[a];[w];[w, y, g, n];[6, 10];[8, 12];[s];[y];[y, e, n];[w];[w];[t];[z];[n];[d];[a]
Stropharia Family;Verdigris Toadstool;p;[2, 6];[b, x];[h, t, y];[r, l];[f];[s];[c];[g, n, u];[4, 8];[5, 10];[s];[y];[w, l, n];[w];[n];[t];[e];[k, u];[g, m, d];[u, a]
Stropharia Family;Dung Roundhead;p;[1, 3];[p];[t];[n];[f];[a];[c];[g, n];[4, 10];[2, 3];[s];[t];[y];[w];[n];[t];[e];[n];[m];[s, u, a]
Stropharia Family;Magic Mushroom;p;[0.5, 1.5];[b];[t];[n, y];[f];[w];[c];[g, k];[2, 5];[2, 3];[s];[y];[n];[w];[n];[t];[f];[n];[g, m];[u, a]
Cortinarius Family;Red-banded Cortinarius;p;[6, 12];[x];[i, e];[n];[f];[a];[w];[n];[6, 15];[10, 20];[s];[y];[n];[w];[e, n];[f];[f];[n];[d, h];[a]
Cortinarius Family;Purple Cortinarius;p;[5, 12];[x];[g];[g, u, n];[t];[x];[w];[n, u];[6, 12];[15, 25];[s];[y];[g, u, n];[w];[u];[f];[f];[n];[d];[a]
Cortinarius Family;Blood-red Cortinarius;p;[2, 5];[x];[i];[e];[f];[w];[w];[e];[3, 6];[3, 8];[s];[y];[e];[w];[n];[f];[f];[n];[d];[a]
Cortinarius Family;Red-staining Inocybe;p;[3, 8];[c];[k, e];[w, y];[t];[x];[c];[p, y, r];[3, 10];[10, 15];[s];[y];[w];[w];[n];[f];[f];[n];[g, d];[s, u, a]
Cortinarius Family;Straw-coloured Inocybe;p;[3, 7];[c];[i];[y];[f];[w];[c];[n, r];[5, 8];[5, 10];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Cortinarius Family;Common White Inocybe;p;[1, 4];[c, f];[g];[w, u];[f];[a];[c];[w, n];[2, 5];[3, 4];[s];[i];[w, u];[w];[n];[f];[f];[n];[p, d];[u, a]
Cortinarius Family;Poison Pie;p;[4, 10];[x];[s, t];[n];[f];[s];[w];[g, n];[4, 7];[5, 10];[s];[y];[n];[w];[n];[f];[f];[n];[d];[a, w]
Cortinarius Family;Dark-centred Hebeloma;p;[2, 5];[x];[t];[n];[f];[s];[c];[n, p];[4, 7];[5, 12];[s];[y];[w];[w];[n];[t];[z];[n];[d];[u, a]
Cortinarius Family;Rusty Wood Rotter;p;[4, 8];[b, x, f];[d, k];[n];[f];[a, d];[c];[y, n];[4, 7];[5, 8];[s];[i];[y, n];[w];[n];[t];[p];[n];[d];[u, a]
Cortinarius Family;Spectacular Gymnopile;p;[6, 15];[x];[d, e, y, i];[y, o];[f];[a];[w];[o, y];[6, 18];[15, 30];[r];[y];[o, y];[w];[n];[t];[r];[n];[d];[u, a, w]
Cortinarius Family;Moss Pixy Cap;p;[1, 2];[b];[h];[n];[f];[a];[w];[n];[3, 6];[1, 2];[s];[t];[n];[w];[n];[f];[f];[n];[g, h, d];[s, u, a]
Mushroom Family;Field Mushroom;e;[3, 10];[p, x, f];[s, y];[w];[f];[e];[c];[p, n, k];[3, 7];[10, 15];[s];[y];[w];[w];[w];[t];[e];[n];[g, m];[u, a]
Mushroom Family;Cultivated Mushroom;e;[3, 10];[f, x];[i, y];[n];[f];[e];[c];[p, n];[3, 6];[10, 15];[s];[y];[w];[w];[n];[t];[l, r];[n];[w];[u, a]
Mushroom Family;Horse Mushroom;e;[5, 20];[p, x, f];[s];[w, n];[t];[e];[w];[g, n];[5, 15];[15, 20];[s];[y];[w];[w];[n];[t];[l, r];[n];[m];[u, a]
Mushroom Family;Yellow-staining Mushroom;p;[5, 10];[x];[y];[w];[t];[w];[w];[w, g, p, n];[6, 10];[10, 18];[s];[y];[w];[w];[n];[t];[l];[n];[g, d];[u, a]
Mushroom Family;Bleeding Brown Mushroom;e;[8, 12];[p, x];[i, y];[n];[t];[e];[w];[p];[8, 10];[15, 20];[s];[y];[w];[w];[n];[t];[l, p];[n];[l, d];[a]
Ink Cap Family;Shaggy Ink Cap;e;[5, 15];[p, f];[y, s];[w];[f];[e];[c];[k, p, w];[8, 30];[10, 15];[s];[s];[w];[w];[n];[t];[e];[n];[g, u, d];[s, u, a, w]
Ink Cap Family;Common Ink Cap;p;[4, 8];[p, b];[s, y];[g, n];[f];[w];[w];[w, g, k];[5, 15];[10, 15];[s];[s];[w];[w];[n];[t];[z];[n];[g, d];[s, u, a, w]
Ink Cap Family;Magpie Ink Cap;p;[6, 10];[p, b];[y];[w, n];[f];[w];[w];[k, p];[10, 20];[15, 20];[s];[y];[w];[w];[n];[f];[f];[n];[d];[a]
Ink Cap Family;Rusty Carpet Ink Cap;p;[2, 5];[b];[y];[n];[f];[w];[c];[w, g, u];[4, 8];[4, 5];[s];[s];[w];[w];[n];[f];[f];[n];[d];[u, a]
Ink Cap Family;Glistening Ink Cap;e;[2, 4];[b];[y];[n];[f];[w];[c];[k, n];[5, 8];[2, 4];[s];[y];[w];[w];[n];[f];[f];[n];[d];[s, u, a, w]
Ink Cap Family;Fairies' Bonnets;e;[0.5, 1.5];[p, b];[g];[w, g];[f];[w];[w];[g];[2, 4];[1, 2];[s];[y];[w];[w];[n];[f];[f];[n];[d];[s, u, a, w]
Ink Cap Family;Fairy Parasol;e;[1, 2];[x, f];[w];[n, g];[f];[w];[d];[g, k];[4, 6];[2, 3];[s];[y];[w];[w];[n];[f];[f];[n];[g, d];[s, u, a, w]
Ink Cap Family;Common Crumble Cap;e;[3, 6];[x, f];[g];[n, y, w];[f];[x];[c];[w, u, g, n];[5, 8];[3, 5];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Ink Cap Family;Two-toned Crumble Cap;e;[2, 5];[x, f];[h];[n];[f];[w];[c];[k, n];[4, 8];[5, 8];[s];[s];[w];[w];[w];[f];[f];[k];[d];[u, a]
Ink Cap Family;Hay Cap;p;[1, 2];[x];[g];[n];[f];[w];[w];[k, n];[4, 6];[2, 3];[s];[s];[n];[w];[n];[f];[f];[k];[g];[u, a]
Ink Cap Family;Petticoat Fungus;p;[2, 4];[b];[g];[g, n, k];[f];[a];[w];[k, n];[6, 12];[2, 3];[s];[y];[g, n];[w];[w];[f];[f];[k];[g];[u, a]
Ink Cap Family;Egg-shell Toadstool;p;[2, 6];[b];[t, h];[n];[f];[w];[w];[k, n];[5, 15];[4, 8];[s];[y];[w];[w];[n];[t];[p];[k];[g];[u, a, w]
Ink Cap Family;Weeping Widow;p;[5, 10];[x];[i];[n, y];[f];[a];[c];[k, n];[6, 10];[6, 10];[s];[i];[n];[w];[k];[t];[z];[k];[g, d];[u, a]
