family;name;class;cap-diameter;cap-shape;Cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;Spore-print-color;habitat;season
tricholoma family;stump bell cap;p;1, 3;[b];;[g, n];[f];[a];;[g];[4, 6];[2];;[s];[g, n];;;;[f];;[d];[u, a]
tricholoma family;tufted bell cap;p;2, 3;[x];[g];[e, n];[f];[a];;[w, p];[4, 10];[2, 3];;;[n, w];;;;[f];;[d];[u, a]
tricholoma family;milky bell cap;e;1, 2;[c];[g];[n];[f];[a];;[g, w];[4, 6];[1, 2];;;[g];;;;[f];;[l, d];[u, a]
tricholoma family;small bleeding bell cap;e;0.5, 1.5;[c, x, f];[g];[n, e];[t];[a];;[p, w];[4, 7];[1];;;[n];;;;[f];;[d, h];[u, a]
tricholoma family;lilac bell cap;p;2, 5;[b, f, s];[w];[u];[f];[a];[c];[g, u];[3, 8];[3, 8];;[s];[u];;;;[f];;[l, d];[u, a]
tricholoma family;yellow-stemmed bell cap;e;1, 2;[x];[g, s, t];[n, y];[f];[a,d];;[w];[4, 8];[1, 3];;[t];[y];;;;[f];;[g, d, h];[u, a]
tricholoma family;orange moss agaric;p;0.4, 1;[x, f];;[o];[f];[d];;[o];[3, 6];[1];;;[o, y];;;;[f];[w];[g];[u, a]
tricholoma family;umbrella navel cap;p;1, 2;[x];[g];[n, y];[f];[d];[d];[n];[1, 3];[2, 3];;[s];[n];;;;[f];;[d, h];[u, a]
tricholoma family;rooting shank;p;4, 10;[x, f];[h, t, w];[n, e];[f];[x];;[w];[8, 20];[5, 10];[r];[g];[n];;;;[f];;[d];[u, a]
tricholoma family;porcelain mushroom;e;4, 8;[x];[h, t];[g, n];[f];[a];[d];[n];[4, 8];[3, 7];;[t];[g, w];;;;[l];;[d];[u, a, w]
tricholoma family;velvet shank;e;2, 7;[x, f];[h, t];[o, n];[f];[a];[d];[w, y];[3, 10];[3, 8];;[k, s];[o, n];;;;[f];;[d];[s, a, w]
tricholoma family;honey fungus;e;5, 15;[x, f];[s];[e, n, y];[f];[a,d];[d];[w];[6, 12];[10, 20];;[i];[n];;;;;[w];[d];[u, a, w]
tricholoma family;soap-scented tricholoma;p;3, 10;[x];[s];[g, r, n];[t];[s];[d];[w, r];[3, 8];[10, 20];[r];[i, y];[w, n];;;;[f];;[d];[u, a]
tricholoma family;grey tricholoma;e;4, 8;[b, f];[h];[g, k];[f];[s];[d];[g, w];[3, 7];[10];;[s];[g];;;;[f];;[d];[u, a]
tricholoma family;scaly tricholoma;e;3, 7;[x, f];[y];[g, n];[f];[s];;[g, w, y];[3, 6];[5, 10];;;[w];;;;[f];;[d];[u, a]
tricholoma family;yellow-brown tricholoma;e;5, 10;[f];[g, s, h, t];[n, o];[f];[s];;[n, y];[7, 11];[10, 15];;[i, t];[n, o];;;;[f];;[d];[a]
tricholoma family;sulphur tricholoma;p;3, 8;[x, f];;[y];[f];[s];[d];[y];[3, 8];[8, 18];;[i];[y];;;;[f];;[d];[a]
tricholoma family;st george's mushroom;e;5, 12;[x, f];[d, s];[w];[f];[s];[c];[w];[4, 10];[20, 40];;;[w];;;;[f];;[m, d];[s, u]
tricholoma family;clustered brown cap;e;6, 10;[p, x];;[g, n];[f];[a];;[w];[5, 10];[10, 18];;;[g, w];;;;[f];;[g, d];[u, a]
tricholoma family;changeable melanoleuca;e;4, 10;[f];[s];[n];[f];[s];[c];[w];[4, 8];[10];[b];[i];[n, w];;;;[f];;[g, l, m, d];[u, a]
tricholoma family;plums and custard;p;4, 12;[f];[y];[e, u, y];[f];[s];[c];[y];[4, 10];[10, 25];;[y];[e, u, y];;;;[f];;[d];[a]
wax gill family;ivory wax cap;e;2, 5;[x, f];[s];[w];[f];[d];[d];[w];[2, 5];[4, 8];;;[w];;;;[f];;[g, m];[a, w]
wax gill family;yellow wax cap;p;3, 6;[x];[h, s, t];[o, y];[f];[a];[c];[y];[5, 7];[5, 10];;[g];[o];;;;[f];;[g];[u, a]
wax gill family;orange-red wax cap;p;1, 4;[x, f];[s, y];[o];[f];[a,d];;[o, y];[2, 4];[4, 7];;;[o, y];;;;[f];;[m, h];[a]
wax gill family;blackening wax cap;p;4, 7;[b, x];[s, i];[e, o, k];[f];[e];;[y, g, k];[4, 10];[5, 10];;;[y, o, k];;;;[f];;[g, m];[u, a]
wax gill family;meadow wax cap;e;3, 10;[x, f, s];[s, d];[o, b];[f];[d];[d];[o, b];[4, 8];[10, 15];;;[w];;;;[f];;[g, m, d];[a, w]
wax gill family;scarlet hood;e;2, 5;[x];[h, s, d];[o, p, e];[f];[a];[c];[o, e];[3, 6];[5, 8];;;[o, e];;;;[f];;[g, m];[u, a, w]
wax gill family;parrot wax cap;p;2, 4;[b, f];[t, w, d];[r, p, y];[f];[a];;[r, y];[4, 6];[4, 8];;[t];[r, y];;;;[f];;[g, m, d];[u, a]
wax gill family;herald of winter;e;3, 5;[x, f];[t];[n];[f];[d];;[o];[5, 7];[5, 10];;[t];[w, o];;;;[f];;[d];[a, w]
russula family;common yellow russula;e;4, 10;[x, f, s];;[y];[f];[a];[c];[w];[4, 8];[10, 20];;;[g,  w];;;;[f];;[d];[u, a, w]
russula family;yellow-gilled russula;e;2, 6;[x];;[y];[f];[a];[c];[o, y];[2, 6];[6, 12];;;[w];;;;[f];;[d];[u, a]
russula family;yellow swamp russula;e;4, 10;[x];[h, t];[y];[t];[x];[c];[y];[5, 10];[10, 20];;;[w];;;;[f];;[d];[u, a]
russula family;geranium-scented russula;p;4, 10;[x, f, s];[t];[n, y];[f];[x];[c];[y];[3, 8];[10, 20];;;[y];;;;[f];;[d];[a]
russula family;stinking russula;p;6, 15;[x];[t];[n];[f];[a];[d];[w];[6, 15];[20, 40];;;[w];;;;[f];;[d];[u, a]
russula family;fragile russula;p;2, 6;[f, s];;[u];[f];[a];;[w];[3, 6];[5, 10];;;[w, y];;;;[f];;[d];[u, a]
russula family;birch russula;p;2, 6;[x, f];;[b, p, e, y];[f];[x];;[w];[3, 7];[5, 8];;;[w];;;;[f];;[d];[u, a]
russula family;bare-toothed russula;e;5, 10;[x, f];;[n, p, e];[f];[x];[c];[w];[4, 10];[10, 25];;[s];[w];;;;[f];;[d];[u, a]
russula family;the charcoal burner;e;5, 15;[x];[e];[l, y];[f];[x];[c];[w];[5, 10];[10, 30];;;[w];;;;[f];;[d];[u, a]
russula family;blackish purple russula;e;4, 12;[x, f];[s];[u, k];[f];[a];[c];[w];[3, 6];[10, 20];;;[w];;;;[f];;[d];[u, a]
russula family;blackening russula;e;8, 25;[x, f, s];[s, t];[k, n, w];[f];[a];[d];[y, k];[4, 10];[15, 30];;;[w];;;;[f];[w];[d];[u, a, w]
russula family;the sickener;p;5, 10;[x, f];[h, t];[e];[f];[x];[d];[w];[4, 8];[15, 20];[b];;[w];;;;[f];;[d];[u, a]
russula family;crab-scented russula;e;7, 15;[x, f, s];[s];[n, r, u, y];[f];[x];;[n];[4, 10];[15, 30];;;[n, p, w];;;;[f];;[d];[u, a, w]
russula family;grass-green russula;p;5, 10;[f];;[r, y];[f];[x];[c];[y, n];[5, 8];[8, 15];;;[w];;;;[f];;[d];[u, a]
russula family;peppery milk cap;e;8, 15;[s];;[w];[t];[d];[c];[w, p, y];[4, 8];[20, 30];;;[w];;;;[f];;[d];[u, a]
russula family;fleecy milk cap;p;10, 25;[x, f, s];[k];[w];[t];[d];[d];[w, n];[4, 10];[20, 40];;;[w];;;;[f];;[d];[u, a, w]
russula family;oak milk cap;p;4, 9;[x, s];[d];[n, e];[t];[d];[c];[n, w];[4, 10];[6, 12];;;[e, n];;;;[f];;[d];[a]
russula family;slimy milk cap;p;5, 10;[s];[h, t];[g, r, n];[t];[d];;[w, g];[4, 5];[10, 15];;[t];[g, r, n];;;;[f];;[d];[u, a]
russula family;ugly milk cap;p;7, 20;[x, f, s];[t];[g, r, k, n];[t];[d];[c];[w, b, n];[4, 6];[20, 30];;;[g, r, n];;;;[f];;[g, l, d];[u, a]
russula family;rufous milk cap;p;4, 10;[f, s];[d];[n, e];[t];[d];[c];[y, w];[4, 8];[6, 12];;;[n, e];;;;[f];;[d];[u, a]
russula family;sweet milk cap;p;3, 8;[s];;[e, n];[t];[d];[c];[b, p, w];[4, 8];[4, 8];;;[e, n];;;;[f];;[d];[u, a]
russula family;small brown milk cap;p;2, 4;[f, s];[w];[n, o];[t];[d];[c];[n, y];[2, 5];[4, 8];;;[n];;;;[f];;[d];[u, a]
russula family;coconut-scented milk cap;e;2, 5;[f, s];[d];[g, u, n, p];[t];[d];[c];[p];[3, 6];[4, 8];;;[g, n];;;;[f];;[d];[u, a]
russula family;woolly milk cap;p;6, 12;[s];[t];[p];[t];[d];[c];[p];[6, 10];[10, 20];;;[p];;;;[f];;[d];[u, a]
russula family;saffron milk cap;e;5, 15;[s];[t];[w, p, o];[t];[d];[c];[o];[4, 8];[15, 20];;;[w];;;;[f];;[d];[u, a]
russula family;spruce milk cap;p;5, 12;[s];;[o, y, r];[t];[d];;[o];[3, 7];[10, 15];;;[w];;;;[f];;[d];[u, a]
pluteus family;fawn pluteus;e;6, 12;[x];[s];[n];[f];[e];[c];[w, p];[4, 10];[8, 12];;[i];[w, n];;;;[f];[p];[d];[s, u, a, w]
pluteus family;veined pluteus;e;4, 9;[x];[y];[n];[f];[e];[c];[p, w];[3, 8];[8, 12];;[y];[n];;;;[f];;[d];[u, a]
entoloma family;silky nolanea;p;2, 5;[x, f];[k];[n, w];[f];[s];;[p];[3, 5];[2, 4];;;[n];;;;[f];[p];[g];[u, a]
entoloma family;striated nolanea;p;3, 5;[b, f];[t];[n];[f];[x];[c];[p];[4, 8];[3, 6];;[i];[n, g];;;;[f];;[g, m, d];[u, a]
entoloma family;white leptonia;p;2, 4;[x, s];[d];[w];[f];[a,d];[d];[p, w];[2, 5];[2, 3];;[h];[w];;;;[f];;[g];[u, a]
entoloma family;blue leptonia;p;1, 3;[x, f];[i];[l, k];[f];[a];;[p, w];[2, 6];[2, 3];;;[w];;;;[f];[p];[g];[u, a]
entoloma family;livid entoloma;p;6, 18;[x];[s, h];[w, y, g, n];[f];[s];;[p, y];[5, 10];[15, 20];;[i];[n];;;;[f];;[d];[u, a]
entoloma family;the miller;e;4, 10;[x, s];[l];[w];[f];[d];;[p, w];[3, 4];[6, 12];;;[w];;;;[f];;[g, d];[u, a]
entoloma family;apricot fungus;p;5, 10;[x, f];[w];[p];[f];[s];[c];[p];[3, 6];[8, 12];;;[p];;;;[f];;[d];[a, w]
bolbitius family;spring agaric;e;3, 6;[x];;[n, w];[f];[x];[c];[w, n];[7, 9];[6, 12];[b];;[n, w];;[w];;;;[g, d];[s, u, a]
stropharia family;shaggy pholiota;p;4, 12;[x];[y];[y, n];[f];[a];[c];[y, n];[6, 15];[7, 15];;[y];[y, n];;;;;;[d];[u, a]
stropharia family;charcoal pholiota;p;2, 6;[x];[h, t];[n, o];[f];[a];[c];[n];[3, 6];[4, 8];;[y];[n, o];;;;[z];;[d];[a, w]
stropharia family;brown stew fungus;e;3, 8;[x];[h];[n];[f];[x];[c];[w, n];[3, 8];[4, 8];;[y, s];[n];;;;[r];;[d];[s, u, a, w]
stropharia family;brick caps;p;4, 8;[x];[e];[e];[f];[a];;[w, y, g, n];[6, 10];[8, 12];;;[y, e, n];;[w];;[z];;[d];[a]
stropharia family;verdigris toadstool;p;2, 6;[b, x];[h, t, y];[r, l];[f];[s];[c];[g, n, u];[4, 8];[5, 10];;[y];[w, l, n];;;;[e];[k, u];[g, m, d];[u, a]
stropharia family;dung roundhead;p;1, 3;[p];[t];[n];[f];[a];[c];[g, n];[4, 10];[2, 3];;[t];[y];;;;[e];;[m];[s, u, a]
cortinarius family;red-banded cortinarius;p;6, 12;[x];[i, e];[n];[f];[a];;[n];[6, 15];[10, 20];[s];;[n];;[e, n];;[f];;[d, h];[a]
cortinarius family;purple cortinarius;p;5, 12;[x];;[g, u, n];[t];[x];;[n, u];[6, 12];[15, 25];[s];;[g, u, n];;[u];;[f];;[d];[a]
cortinarius family;red-staining inocybe;p;3, 8;[c];[k, e];[w, y];[t];[x];[c];[p, y, r];[3, 10];[10, 15];;;[w];;;;[f];;[g, d];[s, u, a]
cortinarius family;common white inocybe;p;1, 4;[c, f];;[w, u];[f];[a];[c];[w, n];[2, 5];[3, 4];;[i];[w, u];;;;[f];;[p, d];[u, a]
cortinarius family;poison pie;p;4, 10;[x];[s, t];[n];[f];[s];;[g, n];[4, 7];[5, 10];;[y];[n];;;;[f];;[d];[a, w]
cortinarius family;dark-centred hebeloma;p;2, 5;[x];[t];[n];[f];[s];[c];[n, p];[4, 7];[5, 12];;;[w];;[n];;[z];;[d];[u, a]
cortinarius family;rusty wood rotter;p;4, 8;[b, x, f];[d, k];[n];[f];[a,d];[c];[y, n];[4, 7];[5, 8];;[i];[y, n];;;;;;[d];[u, a]
cortinarius family;spectacular gymnopile;p;6, 15;[x];[d, e, y, i];[y, o];[f];[a];;[o, y];[6, 18];[15, 30];[r];;[o, y];;;;[r];[n];[d];[u, a, w]
cortinarius family;moss pixy cap;p;1, 2;[b];[h];[n];[f];[a];;[n];[3, 6];[1, 2];;[t];[n];;;;[f];;[g, h, d];[s, u, a]
mushroom family;field mushroom;e;3, 10;[p, x, f];[s, y];[w];[f];[e];[c];[p, n, k];[3, 7];[10, 15];;;[w];;[w];;[e];;[g, m];[u, a]
mushroom family;cultivated mushroom;e;3, 10;[f, x];[i, y];[n];[f];[e];[c];[p, n];[3, 6];[10, 15];;;[w];;;;[l, r];;[w];[u, a]
mushroom family;horse mushroom;e;5, 20;[p, x, f];[s];[w, n];[t];[e];;[g, n];[5, 15];[15, 20];[s];;[w];;;;[l, r];;[m];[u, a]
mushroom family;bleeding brown mushroom;e;8, 12;[p, x];[i, y];[n];[t];[e];;[p];[8, 10];[15, 20];;[y];[w];;;;[l, p];;[l, d];[a]
ink cap family;shaggy ink cap;e;5, 15;[p, f];[y, s];[w];[f];[e];[c];[k, p, w];[8, 30];[10, 15];;[s];[w];;;;[e];;[g, u, d];[s, u, a, w]
ink cap family;common crumble cap;e;3, 6;[x, f];;[n, y, w];[f];[x];[c];[w, u, g, n];[5, 8];[3, 5];;;[w];;;;[f];;[d];[u, a]
ink cap family;petticoat fungus;p;2, 4;[b];;[g, n, k];[f];[a];;[k, n];[6, 12];[2, 3];;;[g, n];;[w];;[f];[k];[g];[u, a]
ink cap family;weeping widow;p;5, 10;[x];[i];[n, y];[f];[a];[c];[k, n];[6, 10];[6, 10];;[i];[n];;[k];;[z];[k];[g, d];[u, a]
bolete family;cep;e;8, 30;[x, p];[w, t];[n];[f];[p];;[w, y];[8, 25];[40, 100];;;[n];;;;[f];;[d];[u, a]
bolete family;bay bolete;e;7, 15;[x];[h, t];[n];[t];[p];;[y];[5, 12];[20, 25];;;[n];;;;[f];;[d];[u, a]
bolete family;red-cracked bolete;e;5, 10;[x];[d];[n, y, e];[t];[p];;[y, r];[4, 8];[10, 15];;;[e, y];;;;[f];;[d];[u, a]
bolete family;yellow-cracked bolete;e;3, 10;[x];[d];[n, y];[t];[p];;[y];[4, 10];[10, 20];;;[y];;;;[f];;[d];[u, a]
bolete family;dotted-stemmed bolete;p;8, 20;[x];[e, k, s, h];[n];[t];[p];;[y, o, e];[6, 12];[20, 40];[c];;[y];;;;[f];;[d];[u, a]
bolete family;lurid bolete;p;8, 14;[x];[e];[n, y];[t];[p];;[o, e];[5, 12];[15, 40];;;[u, e];;;;[f];;[d];[u, a]
bolete family;parasitic bolete;e;2, 5;[x];[d, k];[n];[f];[p];;[y, e, n];[3, 6];[8, 12];;;[n, y];;;;[f];;[d];[a]
bolete family;bitter bolete;p;5, 14;[x, p];;[n];[f];[p];;[w, p];[6, 14];[20, 40];[c];;[n];;;;[f];[p, w];[d];[u, a]
bolete family;peppery bolete;e;3, 6;[x];[s, t];[n, o];[f];[p];;[n];[3, 8];[8, 15];;;[e, n];;;;[f];;[d];[u, a]
bolete family;orange birch bolete;e;12, 25;[p, x];[d];[n, o, e];[f];[p];;[w, n];[12, 20];[30, 40];[s];[y];[w];;;;[f];;[d];[u, a]
bolete family;brown birch bolete;e;5, 10;[x];;[g, n];[t];[p];;[g];[8, 15];[20, 30];;[y];[w];;;;[f];;[d];[u, a]
bolete family;larch bolete;e;4, 12;[x];[t, h];[y];[f];[p];;[y];[5, 10];[12, 18];;;[y];;[y];;;;[d];[u, a]
bolete family;slippery jack;e;6, 12;[x];[t, h, s];[n];[t];[p];;[y, n];[5, 10];[15, 20];;;[n];;[w];;[p];;[d];[u, a]
bolete family;shallow-pored bolete;e;4, 12;[x];[h, t];[n];[f];[p];[d];[y];[4, 10];[10, 15];;[s];[n];;;;[f];;[g, h, d];[u, a]
paxillus family;brown roll-rim;p;7, 15;[x, f, s];[t];[r, n];[t];[d];[c];[n];[4, 8];[10, 20];;;[n];;;;[f];;[h, d];[u, a]
paxillus family;velvet roll-rim;p;8, 25;[f, s];[d, k, s];[n];[f];[d];[c];[y];[4, 8];[20, 50];;[k];[k, n];;;;[f];;[d];[u, a]
paxillus family;false chanterelle;p;3, 8;[s];[d];[o, y];[f];[d];[c];[o, y];[2, 5];[5, 8];;;[o, y];;;;[f];;[h, d];[u, a]
chanterelle family;chanterelle;e;2, 10;[x, f, s];[w];[y];[f];[f];[f];[f];[2, 8];[8, 20];;;[y];;;;[f];;[d];[u, a]
chanterelle family;tubed chanterelle;e;2, 5;[s];;[n, y];[f];[f];[f];[f];[5, 8];[5, 10];;;[o, y];;;;[f];;[d];[a]
chanterelle family;horn of plenty;e;2, 8;[s, o];[l];[n];[f];[f];[f];[f];[4, 10];[20, 80];;;[n];;;;[f];[g];[l, d];[u, a, w]
oyster mushroom family;oyster mushroom;e;5, 18;[f];;[l, g, b, w];[f];[d];[c];[w, y];[2, 3];[10, 20];;;[w];;;;[f];;[d];[a, w]
bracket fungi;hairy stereum;p;2, 6;[o];[s];[y, o, g, n, r];[f];[f];[f];[f];[0];[0];[f];[f];[f];;;;[f];;[d];[s, u, a, w]
bracket fungi;silver leaf fungus;p;2, 4;[o];[l];[g];[f];[f];[f];[f];[0];[0];[f];[f];[f];;;;[f];;[d];[s, u, a, w]
bracket fungi;dryad's saddle;e;50;[o];[y];[y];[f];[p];;[y];[3, 10];[10, 60];;[k];[k, n];;;;[f];;[d];[s, u]
bracket fungi;fuzzy polypore;p;8, 30;[f, x];[g, s, d];[o, e, n, k];[f];[p];;[y];[3, 8];[20, 60];;;[n];;;;[f];;[d];[a, w]
bracket fungi;brown goblet;p;3, 7;[f, s];[k];[n, y];[f];[p];;[n];[2, 5];[3, 8];;[k];[n];;;;[f];;[d];[u]
saddle-cup family;white saddle;p;2, 6;[o];;[w];[f];[f];[f];[f];[4, 7];[20, 40];;[g];[w];;;;[f];;[p, d];[u, a]
bracket fungi;elfin's saddle;p;2, 4;[o];;[g, k];[f];[f];[f];[f];[2, 5];[10, 20];;[g];[g, n];;;;[f];;[d];[u, a]
bracket fungi;turban fungus;p;5, 15;[o];;[n, e];[f];[f];[f];[f];[2, 5];[20, 30];;[g];[n];;;;[f];;[d];[s, u]
morel family;common morel;e;3, 8;[p, c, o];;[n, g];[f];[f];[f];[f];[3, 8];[15, 25];;;[n];;;;[f];;[l, d];[s]
jelly discs family;jelly babies;p;1, 1.5;[x, f, s];[s];[y];[f];[f];[f];[f];[2, 5];[4, 7];;;[y];;;;[f];;[d];[u, a]
